ok,organization,id,title,url,groups,groups_extra,vocabulary,vocabulary_extra,tags,original_tags,,
1,dipcas,312330914859-dipcas-mancomunitats,Castellón: Mancomunidades,https://datosabiertos.dipcas.es/explore/dataset/mancomunitats,caracteristicas del destino,,mancomunidades,,mancomunidades,Sector público,,
1,dipcas,239863345660-dipcas-lonjas-mercados-y-recintos-feriales-2019,"Castellón: Lonjas, mercados y recintos feriales",https://datosabiertos.dipcas.es/explore/dataset/lonjas-mercados-y-recintos-feriales-2019,empresas,,mercados,,"mercados,lonjas",Economía,,
1,torrent,152739069982-torrent-activitats-esportives-2016-actividades-deportivas-2016,Torrent: Actividades deportivas 2016,http://datosabiertos.torrent.es/dataset/activitats-esportives-2016-actividades-deportivas-2016,caracteristicas del destino,,actividades,,actividades,deporte,,
1,valencia,722706334480-valencia-zones-dactivitats-zonas-de-actividades,Valencia: Zonas de actividades,https://valencia.opendatasoft.com/explore/dataset/zones-dactivitats-zonas-de-actividades,caracteristicas del destino,,actividades,,actividades,,,
1,dipcas,103800665275-dipcas-agencias-de-viaje-castellon-2020,Castellón: Agencias de viaje,https://datosabiertos.dipcas.es/explore/dataset/agencias-de-viaje-castellon-2020,empresas,,Agencias de viaje,,agencias_de_viaje,Turismo,,
1,dipcas,835886835652-dipcas-agencias-de-viaje-centrales,Castellón: Agencias de viaje (centrales),https://datosabiertos.dipcas.es/explore/dataset/agencias-de-viaje-centrales,empresas,,agencias de viaje,,agencias_de_viaje,Turismo,,
1,gva,263839151437-gva-dades-turisme-agencies-viatges-comunitat-valenciana,GVA: Datos de turismo sobre agencias de viajes en la Comunidad Valenciana,https://dadesobertes.gva.es/dataset/dades-turisme-agencies-viatges-comunitat-valenciana,empresas,,agencias de viaje,,agencias_de_viaje,"agencias de viajes, estadísticas, turismo",,
1,dipcas,269263449199-dipcas-albergues,Castellón: Albergues,https://datosabiertos.dipcas.es/explore/dataset/albergues,alojamientos,,Albergues,,albergues,Turismo,,
1,dipcas,136190069688-dipcas-casas-rurales-prueba,Castellón: Casas rurales,https://datosabiertos.dipcas.es/explore/dataset/casas-rurales-prueba,alojamientos,,Alojamiento Rural,,"alojamiento,rural",Turismo,,
1,gva,101822082238-gva-dades-turisme-allotjament-rural-comunitat-valenciana,GVA: Datos de turismo sobre alojamiento rural en la Comunidad Valenciana,https://dadesobertes.gva.es/dataset/dades-turisme-allotjament-rural-comunitat-valenciana,alojamientos,,Alojamiento Rural,,"alojamiento,rural","Año 2023, alojamiento rural, estadísticas, turismo",,
1,dipcas,735547833732-dipcas-alumbrado-publico,Castellón: Alumbrado público,https://datosabiertos.dipcas.es/explore/dataset/alumbrado-publico,caracteristicas del destino,,alumbrado,,alumbrado,Urbanismo e infraestructuras,,
1,sagunto,102868056107-sagunto-alumbrado,Sagunto: Alumbrado Público,http://datosabiertos.sagunto.es/dataset/alumbrado,caracteristicas del destino,,alumbrado,,alumbrado,"alumbrado, luminarias, luz",,
1,valencia,169014562492-valencia-aparcaments-bicicletes-aparcamientos-bicicletas,Valencia: Aparcamientos Bicicletas,https://valencia.opendatasoft.com/explore/dataset/aparcaments-bicicletes-aparcamientos-bicicletas,transporte,,aparcameinto,,aparcamiento,,,
