organization,resource_url,resource_title,column,dato,ontology,prefix,predicate,function,comments,resource_id_local
gva,https://tdata.dlsi.ua.es/dataset/741260914897-gva-dades-turisme-hotels-comunitat-valenciana/resource/d2df3cb6-29f8-4f8d-bc8c-2f07c5de5095,Lista de Hoteles Último Período,Signatura,,https://ontologia.segittur.es/turismo/modelo-v1-0-0.owl#,turismo,turismo:Hotel,str_to_id,,b311e90a-3482-4fb8-b475-0986b6e9d42d
gva,https://tdata.dlsi.ua.es/dataset/741260914897-gva-dades-turisme-hotels-comunitat-valenciana/resource/d2df3cb6-29f8-4f8d-bc8c-2f07c5de5095,Lista de Hoteles Último Período,Cod. Categoria,,https://ontologia.segittur.es/turismo/modelo-v1-0-0.owl#,turismo,turismo:stars,cast_to_int,,b311e90a-3482-4fb8-b475-0986b6e9d42d
gva,https://tdata.dlsi.ua.es/dataset/741260914897-gva-dades-turisme-hotels-comunitat-valenciana/resource/d2df3cb6-29f8-4f8d-bc8c-2f07c5de5095,Lista de Hoteles Último Período,Nombre,,http://www.w3.org/2004/02/skos/core#,skos,skos:prefLabel,,,b311e90a-3482-4fb8-b475-0986b6e9d42d
gva,https://tdata.dlsi.ua.es/dataset/741260914897-gva-dades-turisme-hotels-comunitat-valenciana/resource/d2df3cb6-29f8-4f8d-bc8c-2f07c5de5095,Lista de Hoteles Último Período,Nombre,,https://ontologia.segittur.es/turismo/modelo-v1-0-0.owl#,turismo,turismo:name,,,b311e90a-3482-4fb8-b475-0986b6e9d42d
gva,https://tdata.dlsi.ua.es/dataset/741260914897-gva-dades-turisme-hotels-comunitat-valenciana/resource/d2df3cb6-29f8-4f8d-bc8c-2f07c5de5095,Lista de Hoteles Último Período,Email,,https://ontologia.segittur.es/turismo/modelo-v1-0-0.owl#,telecoms,turismo:hasTelecoms/turismo:Telecoms/turismo:email,,,b311e90a-3482-4fb8-b475-0986b6e9d42d
gva,https://tdata.dlsi.ua.es/dataset/741260914897-gva-dades-turisme-hotels-comunitat-valenciana/resource/d2df3cb6-29f8-4f8d-bc8c-2f07c5de5095,Lista de Hoteles Último Período,Web,,https://ontologia.segittur.es/turismo/modelo-v1-0-0.owl#,telecoms,turismo:hasTelecoms/turismo:Telecoms/turismo:url,,,b311e90a-3482-4fb8-b475-0986b6e9d42d
gva,https://tdata.dlsi.ua.es/dataset/741260914897-gva-dades-turisme-hotels-comunitat-valenciana/resource/d2df3cb6-29f8-4f8d-bc8c-2f07c5de5095,Lista de Hoteles Último Período,Provincia,,https://ontologia.segittur.es/turismo/modelo-v1-0-0.owl#,location,turismo:hasLocation/turismo:Location/turismo:province,,,b311e90a-3482-4fb8-b475-0986b6e9d42d
gva,https://tdata.dlsi.ua.es/dataset/741260914897-gva-dades-turisme-hotels-comunitat-valenciana/resource/d2df3cb6-29f8-4f8d-bc8c-2f07c5de5095,Lista de Hoteles Último Período,Municipio,,https://ontologia.segittur.es/turismo/modelo-v1-0-0.owl#,location,turismo:hasLocation/turismo:Location/turismo:city,,,b311e90a-3482-4fb8-b475-0986b6e9d42d
gva,https://tdata.dlsi.ua.es/dataset/741260914897-gva-dades-turisme-hotels-comunitat-valenciana/resource/d2df3cb6-29f8-4f8d-bc8c-2f07c5de5095,Lista de Hoteles Último Período,Comarca,,https://ontologia.segittur.es/turismo/modelo-v1-0-0.owl#,location,turismo:hasLocation/turismo:Location/turismo:county,,,b311e90a-3482-4fb8-b475-0986b6e9d42d
gva,https://tdata.dlsi.ua.es/dataset/741260914897-gva-dades-turisme-hotels-comunitat-valenciana/resource/d2df3cb6-29f8-4f8d-bc8c-2f07c5de5095,Lista de Hoteles Último Período,CP,,https://ontologia.segittur.es/turismo/modelo-v1-0-0.owl#,location,turismo:hasLocation/turismo:Location/turismo:postalCode,,,b311e90a-3482-4fb8-b475-0986b6e9d42d
gva,https://tdata.dlsi.ua.es/dataset/741260914897-gva-dades-turisme-hotels-comunitat-valenciana/resource/d2df3cb6-29f8-4f8d-bc8c-2f07c5de5095,Lista de Hoteles Último Período,Direccion,,https://ontologia.segittur.es/turismo/modelo-v1-0-0.owl#,location,turismo:hasLocation/turismo:Location/turismo:streetAddress,,,b311e90a-3482-4fb8-b475-0986b6e9d42d
gva,https://tdata.dlsi.ua.es/dataset/741260914897-gva-dades-turisme-hotels-comunitat-valenciana/resource/d2df3cb6-29f8-4f8d-bc8c-2f07c5de5095,Lista de Hoteles Último Período,Habitaciones,,https://ontologia.segittur.es/turismo/modelo-v1-0-0.owl#,acco_cap,turismo:accommodationCapacity/turismo:AccommodationCapacity/turismo:numberOfRooms,cast_to_int,,b311e90a-3482-4fb8-b475-0986b6e9d42d
