tag_es,tag_ca,tag_en
agencias_de_viaje,agèncias_de_viatges,travel_agencies
albergues,refugi,shelters
alquilercoches,llogarcotxes,rentcars
aparcamientos,estacionaments,parking_lot
autobuses,autobusos,buses
bici,bici,bike
camping,campament,camping
ciclismo,ciclisme,cycling
cultura,cultura,culture
demografía,demografia,profiles
destino,destinació,satisfaction
discapacidad,discapacitat,disability
empleo,ocupació,employment
empresas,empreses,companies
encuesta,enquesta,survey
encuestas_ocupación,enquestes_ocupació,occupation_surveys
estaciones,estacions,stations
estadística,estadístiques,statistics
gustos,tasta,tastes
habitos,hàbits,habits
hostales,hostals,hostels
hoteles,hotels,hotels
indicadores,indicadors,indicators
medioambiente,entorn,environment
minusvalía,minusvalidesa,impairment
monumentos,monuments,monuments
movilidad_reducida,reducció_mobilitat,reduced_mobility
museos,museus,museums
naturaleza,natural,nature
ocio,lleure,leisure
parkings,parkings,parkings
pensiones,pensions,pensions
perfiles,perfils,demography
pernoctaciones,pernoctacions,percnoctations
población_activa,població_activa,active_population
rentabilidad,rendibilitat,profitability
restaurantes,restaurants,restaurants
rural,rural,rural
rutas,rutes,routes
satisfación,satisfacció,destination
sector_hotelero,sector_hoter,hotel_sector
seguridad_social,seguretat_social,social_security
tráfico,trànsit,traffic
turismo_activo,turismo_activo,turismo_activo
viajeros,viatjant,travelers
viviendas,cases,tourist
