tag_vocabulary_es,tag_vocabulary_ca,tag_vocabulary_en
Agencias de viaje,Agèncias de viatges,Travel agencys
Albergues,Refugi,Shelters
Alojamiento Rural,Allotjament rural,Rural accommodation
Alquiler de coches,Lloguer de cotxes,Car rental
Aparcamientos,Estacionaments,Parking lots
Autobuses,Autobusos,Buses
Bici,Bici,Bike
Bien de Interés Cultural,Interès cultural bo,Cultural Interest Good
Camping,Campament,Camping
Empleo turístico,Ocupació turística,Tourist employment
Empleo turístico según la Encuesta de Población Activa,L’ocupació turística segons l’enquesta de població activa,Tourist employment according to the Active Population Survey
Empresas de turismo activo,Empreses turístiques actives,Active tourism companies
Encuestas de ocupación,Enquestes d’ocupació,Occupation surveys
Estaciones,Estacions,Stations
Estadística de Empleo Turístico según la Afiliación a la Seguridad Social,Estadístiques d’ocupació turística segons l’afiliació a la Seguretat Social,Tourist Employment Statistics according to social security affiliation
Gustos y habitos,Gustos i hàbits,Tastes and habits
Hostales,Hostals,Hostels
Hoteles,Hotels,Hotels
Indicadores de Rentabilidad del Sector Hotelero,Indicadors de rendibilitat del sector hoteler,Profitability indicators of the hotel sector
Medioambiente,Entorn,Environment
Monumentos,Monuments,Monuments
Movilidad Reducida,Mobilitat reduïda,Reduced mobility
Museos,Museus,Museums
Ocio y Cultura,O oci i cultura,Leisure and culture
Otros,Altres,Other
Pensiones,Pensions,Pensions
Perfiles demograficos,Perfils demogràfics,Demographic profiles
Perfiles Turisticos,Perfils Turístics,Tourist Profiles
Restaurantes,Restaurants,Restaurants
Rutas,Rutes,Routes
Satisfación en el destino,Satisfacció a la destinació,Satisfaction in the destination
Tráfico,Trànsit,Traffic
Viajeros y Pernoctaciones,Viatjants i Pernoctacions,Travelers and Pernoctations
Viviendas turísticas,Habitatge turístic,Tourist housing
