CODIGO_MUNIINE,MUNICIPIO,RED DTI ,PORTAL DE OPEN DATA ,CATEGORIA DE TURISMO ,TECNOLOGIA,PROCESABLE,URL  DIPUTACIÓN DE ALICANTE,CATEGORIA DE TURISMO DPA,TECNOLOGIA,PROCESABLE,EPADATA ,CATEGORIA DE TURISMO ,TECNOLOGIA,PROCESABLE,AlLICANTEENCIFRAS CAMARA DE COMERCIO URL ,CATEGORIA DE TURISMO ,TECNOLOGIA,PROCESABLE,INE DATOS TURISTICOS ,CATEGORIA DE TURISMO ,TECNOLOGIA,PROCESABLE
3001,ADSUBIA,,,,,,http://documentacion.diputacionalicante.es/menulocal.asp?codigo=03001,"Si que se encuentra datos de turismo.Pero ...
- Son antiguos de 2018                                                     
-  Unicamente sobre la oferta turística 
",,,,,,,,,,,,,,
3002,AGOST,,,,,,http://documentacion.diputacionalicante.es/menulocal.asp?codigo=03002,,,,,,,,,,,,https://www.ine.es/jaxiT3/Tabla.htm?t=53001&L=0,"Número de turistas mensuales por CCAA y provincia de origen desagregados por municipio de destino
- (turistas, municipio, periodo)",,
3004,AIGÜES,,,,,,http://documentacion.diputacionalicante.es/menulocal.asp?codigo=03004,,,,https://www.epdata.es/datos/ocupacion-hotelera-hoteles-datos-graficos-municipios/143/aigues/468,,,,,,,,,,,
3005,ALBATERA,,,,,,http://documentacion.diputacionalicante.es/menulocal.asp?codigo=03005,,,,https://www.epdata.es/datos/ocupacion-hotelera-hoteles-datos-graficos-municipios/143/albatera/536,,,,,,,,https://www.ine.es/jaxiT3/Tabla.htm?t=53001&L=0,"Número de turistas mensuales por CCAA y provincia de origen desagregados por municipio de destino
- (turistas, municipio, periodo)",,
3006,ALCALALI,,,,,,http://documentacion.diputacionalicante.es/menulocal.asp?codigo=03006,,,,https://www.epdata.es/datos/ocupacion-hotelera-hoteles-datos-graficos-municipios/143/alcalali/593,,,,,,,,,,,
3007,ALCOCER DE PLANES,,,,,,http://documentacion.diputacionalicante.es/menulocal.asp?codigo=03007,,,,https://www.epdata.es/datos/ocupacion-hotelera-hoteles-datos-graficos-municipios/143/alcocer-planes/619,,,,,,,,,,,
3008,ALCOLEJA,,,,,,http://documentacion.diputacionalicante.es/menulocal.asp?codigo=03008,,,,https://www.epdata.es/datos/ocupacion-hotelera-hoteles-datos-graficos-municipios/143/alcoleja/629,,,,,,,,https://www.ine.es/jaxiT3/Tabla.htm?t=53001&L=0,"Número de turistas mensuales por CCAA y provincia de origen desagregados por municipio de destino
- (turistas, municipio, periodo)",,
3009,"ALCOY ó ALCOI ",SI (NIVEL TRES),https://opendata.alcoi.org/ ,Si ,CKAN,SI,http://documentacion.diputacionalicante.es/menulocal.asp?codigo=03009,,,,,,,,,,,,https://www.ine.es/jaxiT3/Tabla.htm?t=53001&L=0,"Número de turistas mensuales por CCAA y provincia de origen desagregados por municipio de destino
- (turistas, municipio, periodo)",,
3010,ALFAFARA,,https://www.alfafar.es/open-data/,No,PROPIA,NO ,http://documentacion.diputacionalicante.es/menulocal.asp?codigo=03010,,,,https://www.epdata.es/datos/ocupacion-hotelera-hoteles-datos-graficos-municipios/143/alfafar/723,,,,,,,,https://www.ine.es/jaxiT3/Tabla.htm?t=53001&L=0,"Número de turistas mensuales por CCAA y provincia de origen desagregados por municipio de destino
- (turistas, municipio, periodo)",,
3012,ALGORFA,,,,,,http://documentacion.diputacionalicante.es/menulocal.asp?codigo=03012,,,,https://www.epdata.es/datos/ocupacion-hotelera-hoteles-datos-graficos-municipios/143/algorfa/771,,,,,,,,https://www.ine.es/jaxiT3/Tabla.htm?t=53001&L=0,"Número de turistas mensuales por CCAA y provincia de origen desagregados por municipio de destino
- (turistas, municipio, periodo)",,
